1;"Firma A";"Bedecs";"Anna";;"Inhaberin";"(123)555-0100";;;"(123)555-0101";"123 1st Street";"Seattle";"WA";"99999";"USA";;;
2;"Firma B";"Gratacos Solsona";"Antonio";;"Inhaber";"(123)555-0100";;;"(123)555-0101";"123 2nd Street";"Boston";"MA";"99999";"USA";;;
3;"Firma C";"Axen";"Thomas";;"Einkaufsmitarbeiter";"(123)555-0100";;;"(123)555-0101";"123 3rd Street";"Los Angeles";"CA";"99999";"USA";;;
4;"Firma D";"Lee";"Christina";;"Einkaufsmanagerin";"(123)555-0100";;;"(123)555-0101";"123 4th Street";"New York";"NY";"99999";"USA";;;
5;"Firma E";"O’Donnell";"Martin";;"Inhaber";"(123)555-0100";;;"(123)555-0101";"123 5th Street";"Minneapolis";"MN";"99999";"USA";;;
6;"Firma F";"Pérez-Olaeta";"Francisco";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"123 6th Street";"Milwaukee";"WI";"99999";"USA";;;
7;"Firma G";"Xie";"Ming-Yang";;"Inhaber";"(123)555-0100";;;"(123)555-0101";"123 7th Street";"Boise";"ID";"99999";"USA";;;
8;"Firma H";"Andersen";"Elizabeth";;"Einkaufsmitarbeiter";"(123)555-0100";;;"(123)555-0101";"123 8th Street";"Portland";"OR";"99999";"USA";;;
9;"Firma I";"Mortensen";"Sven";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"123 9th Street";"Salt Lake City";"UT";"99999";"USA";;;
10;"Firma J";"Wacker";"Roland";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"123 10th Street";"Chicago";"IL";"99999";"USA";;;
11;"Firma K";"Krschne";"Peter";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"123 11th Street";"Miami";"FL";"99999";"USA";;;
12;"Firma L";"Edwards";"John";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"123 12th Street";"Las Vegas";"NV";"99999";"USA";;;
13;"Firma M";"Ludick";"Andre";;"Einkaufsmitarbeiter";"(123)555-0100";;;"(123)555-0101";"456 13th Street";"Memphis";"TN";"99999";"USA";;;
14;"Firma N";"Grilo";"Carlos";;"Vertreter für den Einkauf";"(123)555-0100";;;"(123)555-0101";"456 14th Street";"Denver";"CO";"99999";"USA";;;
15;"Firma O";"Kupkova";"Helena";;"Einkaufsmanagerin";"(123)555-0100";;;"(123)555-0101";"456 15th Street";"Honolulu";"HI";"99999";"USA";;;
16;"Firma P";"Goldschmidt";"Daniel";;"Einkaufsmitarbeiter";"(123)555-0100";;;"(123)555-0101";"456 16th Street";"San Francisco";"CA";"99999";"USA";;;
17;"Firma Q";"Bagel";"Jean Philippe";;"Inhaber";"(123)555-0100";;;"(123)555-0101";"456 17th Street";"Seattle";"WA";"99999";"USA";;;
18;"Firma R";"Autier Miconi";"Catherine";;"Einkaufsmitarbeiter";"(123)555-0100";;;"(123)555-0101";"456 18th Street";"Boston";"MA";"99999";"USA";;;
19;"Firma S";"Eggerer";"Alexander";;"Assistent der Buchhaltung";"(123)555-0100";;;"(123)555-0101";"789 19th Street";"Los Angeles";"CA";"99999";"USA";;;
20;"Firma T";"Li";"George";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"789 20th Street";"New York";"NY";"99999";"USA";;;
21;"Firma U";"Tham";"Bernard";;"Buchhaltungsmanager";"(123)555-0100";;;"(123)555-0101";"789 21th Street";"Minneapolis";"MN";"99999";"USA";;;
22;"Firma V";"Ramos";"Luciana";;"Einkaufsassistentin";"(123)555-0100";;;"(123)555-0101";"789 22th Street";"Milwaukee";"WI";"99999";"USA";;;
23;"Firma W";"Entin";"Michael";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"789 23th Street";"Portland";"OR";"99999";"USA";;;
24;"Firma X";"Hasselberg";"Jonas";;"Inhaber";"(123)555-0100";;;"(123)555-0101";"789 24th Street";"Salt Lake City";"UT";"99999";"USA";;;
25;"Firma Y";"Rodman";"John";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"789 25th Street";"Chicago";"IL";"99999";"USA";;;
26;"Firma Z";"Liu";"Run";;"Assistent der Buchhaltung";"(123)555-0100";;;"(123)555-0101";"789 26th Street";"Miami";"FL";"99999";"USA";;;
27;"Firma AA";"Toh";"Karen";;"Einkaufsmanagerin";"(123)555-0100";;;"(123)555-0101";"789 27th Street";"Las Vegas";"NV";"99999";"USA";;;
28;"Firma BB";"Raghav";"Amritansh";;"Einkaufsmanager";"(123)555-0100";;;"(123)555-0101";"789 28th Street";"Memphis";"TN";"99999";"USA";;;
29;"Firma CC";"Lee";"Soo Jung";;"Manager Einkauf";"(123)555-0100";;;"(123)555-0101";"789 29th Street";"Denver";"CO";"99999";"USA";;;
